question,domain,ragas_faithfulness,judge_faithfulness_norm,delta_faithfulness,ragas_context_precision,judge_context_relevance_norm,delta_context,ragas_context_recall,judge_answer_relevance_norm,judge_correctness_norm
What is inheritance in Java and how does it work?,java_textbook,0.6923076923076923,1.0,0.3076923076923077,0.9999999999666668,0.8,-0.19999999996666673,1.0,1.0,1.0
What are the limitations and disclaimers mentioned in the Terms and Conditions?,terms_conditions,0.8333333333333334,1.0,0.16666666666666663,0.6999999999766667,1.0,0.30000000002333327,0.75,1.0,0.8
What are the key features offered by CloudHost Business Plan?,product_catalog,1.0,1.0,0.0,0.9999999999,0.8,-0.19999999989999995,1.0,1.0,1.0
What access modifiers exist in Java and what do they control?,java_textbook,0.5,1.0,0.5,0.9999999999,0.8,-0.19999999989999995,1.0,1.0,1.0
What is the price of CodeMaster Pro 2024 and what platforms does it support?,product_catalog,1.0,1.0,0.0,0.9999999999,0.8,-0.19999999989999995,0.6666666666666666,1.0,0.8
What sensor technologies does the Honeywell XNX Universal Transmitter support and what is its combustible gas detection range?,honeywell_products,1.0,1.0,0.0,0.3333333333,1.0,0.6666666667000001,1.0,1.0,0.8
What voltage systems does the Honeywell T4 Pro thermostat work with and what is its heating temperature range?,honeywell_products,0.5,0.8,0.30000000000000004,0.0,0.8,0.8,0.3333333333333333,0.8,0.4
What are the MS/TP LAN wiring requirements for the Honeywell BACnet Fixed Function Thermostat?,honeywell_products,1.0,1.0,0.0,0.9999999999666668,1.0,3.333322506904324e-11,1.0,1.0,0.8
What is a class in Java and how is it declared?,java_textbook,1.0,1.0,0.0,0.9999999999666668,0.8,-0.19999999996666673,1.0,1.0,1.0
"Under what conditions does the SoftwareHub license terminate, and what must the user do after termination?",terms_conditions,1.0,1.0,0.0,0.9999999999,0.8,-0.19999999989999995,1.0,1.0,1.0
